subject,site_id,site_name,timepoint,volume_csf,volume_tissue,volume_lesion,adc_rate_mean_tissue,adc_rate_mean_csf,adc_rate_mean_lesion,t2_rate_mean_tissue,t2_rate_mean_csf,t2_rate_mean_lesion,adc_qa_snr,t2_qa_snr
FR8086,YL,Yale,early,0.344250041,285.059284,17.10787704,7.59E-04,0.001749506,5.84E-04,28.84730009,14.53875068,16.03083288,5.992558797,9.153286951
FR8087,YL,Yale,early,4.390875523,302.7240361,45.37350541,6.72E-04,0.001794405,4.72E-04,30.99688328,16.53708388,18.54152314,5.468781512,12.22695076
FR8087,YL,Yale,late,13.66200163,327.361539,0,8.12E-04,0.002399574,NA,28.21576699,12.13782343,NA,6.144289598,9.615147327
FR8088,YL,Yale,early,12.6056265,445.000553,130.0995155,7.91E-04,0.001784806,3.99E-04,31.40717932,13.56313358,16.08590489,8.09283612,13.27993861
FR8094,YL,Yale,early,6.358500758,318.677663,5.990625714,6.84E-04,0.001983311,6.40E-04,28.61585041,13.88005112,21.27939762,8.393107453,14.07926445
KW9345,YL,Yale,early,8.363250997,477.2284319,0,7.83E-04,0.002013909,NA,29.28429617,14.19198589,NA,7.84759403,12.74904054
KW9348,YL,Yale,early,5.70375068,357.0075426,74.27025885,7.61E-04,0.001969978,5.39E-04,29.11717699,14.8354979,16.73156414,8.309288445,13.61863976
KW9348,YL,Yale,late,10.69537627,378.9686702,0,7.84E-04,0.002179074,NA,28.67438226,12.99661027,NA,7.192061135,11.34557964
KW9349,YL,Yale,early,13.79700164,361.1351681,105.8568876,6.16E-04,0.001437492,3.70E-04,27.1050062,11.99956801,14.35093612,9.78827537,16.21753939
KW9349,YL,Yale,late,17.57362709,331.6646645,0,7.98E-04,0.002362703,NA,29.00924096,11.67865064,NA,6.157488796,9.804639091
KW9354,YL,Yale,early,4.566375544,316.9395378,0,7.15E-04,0.002089539,NA,28.37072978,13.4808367,NA,7.598024465,12.04584588
KW9354,YL,Yale,late,5.45400065,369.147419,0,7.43E-04,0.002085471,NA,28.52652031,13.56202515,NA,7.453486704,11.86773339
QC2304,YL,Yale,early,5.643000673,463.0230552,10.53675126,7.97E-04,0.002035567,6.65E-04,29.77597377,15.10668906,21.13610033,7.626241655,12.07612493
QC2305,YL,Yale,early,1.073250128,295.1302852,24.25612789,7.60E-04,0.00177643,6.25E-04,29.16070174,16.91696425,18.08051557,6.067281515,10.99809455
QC2306,YL,Yale,early,5.575500665,297.2362854,90.39263578,7.34E-04,0.001948607,5.62E-04,27.38337007,13.43531192,17.51935655,6.978353579,10.95529152
QC2308,YL,Yale,early,20.1352524,409.3470488,0,7.02E-04,0.001966696,NA,27.76423588,12.30959867,NA,7.807701449,12.79581762
QC2308,YL,Yale,late,8.05275096,412.1010491,0,7.24E-04,0.001959259,NA,28.90613649,13.80288081,NA,6.825203251,11.0768536
QC2313,YL,Yale,early,5.521500658,342.2790408,6.672375795,7.08E-04,0.002032441,5.76E-04,29.46128528,14.75709193,22.51357394,6.09732801,9.457158305
QC2313,YL,Yale,late,6.135750731,365.7892936,0,7.64E-04,0.002216955,NA,28.34832351,13.72160793,NA,7.319617516,11.39752447
QC2314,YL,Yale,early,7.475625891,317.5571629,44.70188033,7.29E-04,0.002089079,5.46E-04,28.42709336,12.73398518,14.96878757,7.19106091,11.65711943
VH1366,YL,Yale,early,5.511375657,346.6732913,28.65712842,6.93E-04,0.001843762,4.51E-04,39.68862209,22.34355212,24.00538311,6.606986746,13.53648793
VH1367,YL,Yale,early,10.86075129,320.1896632,52.09650621,7.52E-04,0.002125254,6.04E-04,27.69185292,12.44825951,16.14475265,7.094837681,11.17568149
VH1368,YL,Yale,early,6.46312577,341.4825407,0,7.39E-04,0.002128697,NA,28.42118115,13.40706325,NA,6.480449468,10.11245503
VH1371,YL,Yale,early,6.503625775,330.1087894,53.21363134,7.31E-04,0.001843257,5.41E-04,27.2551806,14.1618171,15.61670637,6.31930301,10.78221757
VH1372,YL,Yale,early,5.78812569,332.6366647,11.81250141,7.19E-04,0.001963292,6.22E-04,27.68915082,13.39309269,20.28218103,6.224499372,10.28150064
VH1372,YL,Yale,late,7.948125947,365.6812936,0,7.47E-04,0.002155241,NA,27.61150574,13.330253,NA,5.384493775,8.767786078
VH1378,YL,Yale,early,21.71137759,427.622676,19.51087733,7.65E-04,0.001909811,5.17E-04,27.7241971,12.44501001,18.52623215,7.515337073,12.11649216
